 ,1:00 pm, Denver Broncos, Kansas City Chiefs
 ,1:00 pm, Houston Texans, Tennessee Titans
 ,1:00 pm, Miami Dolphins, New York Giants
 ,1:00 pm, New England Patriots, Cincinnati Bengals
 ,1:00 pm, Philadelphia Eagles, Washington Redskins
 ,1:00 pm, Seattle Seahawks, Carolina Panthers
 ,1:00 pm, Tampa Bay Buccaneers, Detroit Lions
 ,4:05 pm, Cleveland Browns, Arizona Cardinals
 ,4:05 pm, Jacksonville Jaguars, Oakland Raiders
 ,4:25 pm, Atlanta Falcons, San Francisco 49ers
 ,4:25 pm, Los Angeles Rams, Dallas Cowboys
 ,8:20 pm, Minnesota Vikings, Los Angeles Chargers
 Mon Dec 16,8:15 pm, Indianapolis Colts, New Orleans Saints
Sun Dec 22,1:00 pm, Baltimore Ravens, Cleveland Browns
 ,1:00 pm, Buffalo Bills, New England Patriots
 ,1:00 pm, Carolina Panthers, Indianapolis Colts
 ,1:00 pm, Cincinnati Bengals, Miami Dolphins
 ,1:00 pm, Detroit Lions, Denver Broncos
 ,1:00 pm, Houston Texans, Tampa Bay Buccaneers
 ,1:00 pm, Jacksonville Jaguars, Atlanta Falcons
 ,1:00 pm, Los Angeles Rams, San Francisco 49ers
 ,1:00 pm, New Orleans Saints, Tennessee Titans
 ,1:00 pm, New York Giants, Washington Redskins
 ,1:00 pm, Oakland Raiders, Los Angeles Chargers
 ,1:00 pm, Pittsburgh Steelers, New York Jets
 ,4:25 pm, Arizona Cardinals, Seattle Seahawks
 ,4:25 pm, Dallas Cowboys, Philadelphia Eagles
 ,8:20 pm, Kansas City Chiefs, Chicago Bears
 Mon Dec 23,8:15 pm, Green Bay Packers, Minnesota Vikings
 Sun Dec 29,1:00 pm, Atlanta Falcons, Tampa Bay Buccaneers
 ,1:00 pm, Chicago Bears, Minnesota Vikings
 ,1:00 pm, Cleveland Browns, Cincinnati Bengals
 ,1:00 pm, Green Bay Packers, Detroit Lions
 ,1:00 pm, Indianapolis Colts, Jacksonville Jaguars
 ,1:00 pm, Los Angeles Chargers, Kansas City Chiefs
 ,1:00 pm, Miami Dolphins, New England Patriots
 ,1:00 pm, New Orleans Saints, Carolina Panthers
 ,1:00 pm, New York Jets, Buffalo Bills
 ,1:00 pm, Philadelphia Eagles, New York Giants
 ,1:00 pm, Pittsburgh Steelers, Baltimore Ravens
 ,1:00 pm, Tennessee Titans, Houston Texans
 ,1:00 pm, Washington Redskins, Dallas Cowboys
 ,4:25 pm, Arizona Cardinals, Los Angeles Rams
 ,4:25 pm, Oakland Raiders, Denver Broncos
 ,4:25 pm, San Francisco 49ers, Seattle Seahawks
