date, time (ET), away, home
12/01/2019, 13:00,  Washington Redskins, Carolina Panthers
12/01/2019, 16:05,  Los Angeles Rams, Arizona Cardinals
12/01/2019, 16:25,  Cleveland Browns, Pittsburgh Steelers
12/01/2019, 16:25,  Los Angeles Chargers, Denver Broncos
12/01/2019, 20:20,  New England Patriots, Houston Texans
12/02/2019, 20:15,  Minnesota Vikings, Seattle Seahawks
12/05/2019, 20:20,  Dallas Cowboys, Chicago Bears
12/08/2019, 13:00,  Baltimore Ravens, Buffalo Bills
12/08/2019, 13:00,  Carolina Panthers, Atlanta Falcons
12/08/2019, 13:00,  Cincinnati Bengals, Cleveland Browns
12/08/2019, 13:00,  Denver Broncos, Houston Texans
12/08/2019, 13:00,  Detroit Lions, Minnesota Vikings
12/08/2019, 13:00,  Indianapolis Colts, Tampa Bay Buccaneers
12/08/2019, 13:00,  Miami Dolphins, New York Jets
12/08/2019, 13:00,  San Francisco 49ers, New Orleans Saints
12/08/2019, 13:00,  Washington Redskins, Green Bay Packers
12/08/2019, 16:05,  Los Angeles Chargers, Jacksonville Jaguars
12/08/2019, 16:25,  Kansas City Chiefs, New England Patriots
12/08/2019, 16:25,  Pittsburgh Steelers, Arizona Cardinals
12/08/2019, 16:25,  Tennessee Titans, Oakland Raiders
12/08/2019, 20:20,  Seattle Seahawks, Los Angeles Rams
12/09/2019, 20:15,  New York Giants, Philadelphia Eagles
12/12/2019, 20:20,  New York Jets, Baltimore Ravens
12/15/2019, 13:00,  Buffalo Bills, Pittsburgh Steelers
12/15/2019, 13:00,  Chicago Bears, Green Bay Packers
12/15/2019, 13:00,  Denver Broncos, Kansas City Chiefs
12/15/2019, 13:00,  Houston Texans, Tennessee Titans
12/15/2019, 13:00,  Miami Dolphins, New York Giants
12/15/2019, 13:00,  New England Patriots, Cincinnati Bengals
12/15/2019, 13:00,  Philadelphia Eagles, Washington Redskins
12/15/2019, 13:00,  Seattle Seahawks, Carolina Panthers
12/15/2019, 13:00,  Tampa Bay Buccaneers, Detroit Lions
12/15/2019, 16:05,  Cleveland Browns, Arizona Cardinals
12/15/2019, 16:05,  Jacksonville Jaguars, Oakland Raiders
12/15/2019, 16:25,  Atlanta Falcons, San Francisco 49ers
12/15/2019, 16:25,  Los Angeles Rams, Dallas Cowboys
12/15/2019, 20:20,  Minnesota Vikings, Los Angeles Chargers
12/16/2019, 20:15,  Indianapolis Colts, New Orleans Saints
12/22/2019, 13:00,  Baltimore Ravens, Cleveland Browns
12/22/2019, 13:00,  Buffalo Bills, New England Patriots
12/22/2019, 13:00,  Carolina Panthers, Indianapolis Colts
12/22/2019, 13:00,  Cincinnati Bengals, Miami Dolphins
12/22/2019, 13:00,  Detroit Lions, Denver Broncos
12/22/2019, 13:00,  Houston Texans, Tampa Bay Buccaneers
12/22/2019, 13:00,  Jacksonville Jaguars, Atlanta Falcons
12/22/2019, 13:00,  Los Angeles Rams, San Francisco 49ers
12/22/2019, 13:00,  New Orleans Saints, Tennessee Titans
12/22/2019, 13:00,  New York Giants, Washington Redskins
12/22/2019, 13:00,  Oakland Raiders, Los Angeles Chargers
12/22/2019, 13:00,  Pittsburgh Steelers, New York Jets
12/22/2019, 16:25,  Arizona Cardinals, Seattle Seahawks
12/22/2019, 16:25,  Dallas Cowboys, Philadelphia Eagles
12/22/2019, 20:20,  Kansas City Chiefs, Chicago Bears
12/23/2019, 20:15,  Green Bay Packers, Minnesota Vikings
12/29/2019, 13:00,  Atlanta Falcons, Tampa Bay Buccaneers
12/29/2019, 13:00,  Chicago Bears, Minnesota Vikings
